System time: 0 | Packet number: 2 | Type: 2 | Mode: 2 | Battery: 2 | Roll: 5 | Pitch: 245 | Height: 0
Packet number: 3 | Type: 10 | Motor1: 40 | Motor2: 40 | Motor3: 40 | Motor4: 40
Packet number: 1068 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1070 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1072 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1074 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1076 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1078 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1080 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1082 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1084 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1086 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1088 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1090 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1092 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1094 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1096 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1098 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1100 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1102 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1104 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1106 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1108 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1110 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1112 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1114 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1116 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
System time: 0 | Packet number: 1118 | Type: 2 | Mode: 2 | Battery: 2 | Roll: 7 | Pitch: 245 | Height: 0
Packet number: 1119 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1121 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1123 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1125 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1127 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1129 | Type: 10 | Mo
